Event,Date,Location,Title,Listed,Slides,Video,Other,Abstract
Lightning Talk 2015,2015-04-15,"Austin, TX",Lightning Talks � Host,,,https://www.youtube.com/watch?v=fQAAzpk4oQ4,,"I co-hosted the always fun 5 minute Lightning Talks, and gave one myself."
Lightning Talk 2015,2015-04-15,"Austin, TX",The Most Important Thing I Do Everyday At ApacheCon,,,https://youtu.be/fQAAzpk4oQ4?list=WL&t=2869,,
Ignite OSCON 2015,2015-07-20,"Austin, TX",Why I Don't Use The GPL,,https://www.slideshare.net/shanecurcuru/why-i-dont-use-the-gpl,https://www.youtube.com/watch?v=3b2wp7j8jmU,,"I won�t use the GPL for new software, and you maybe shouldn�t either. *Heretic*, comes the cry from the back of the room! But no � I bleed and believe in open source and the public good as much as you do. The difference is, I want to share my code with *everyone* not just the believers."
ApacheCon Europe 2015,2015-09-28,"Budapest, Hungary",State of the Feather,Y,https://www.slideshare.net/shanecurcuru/state-of-the-feather-apachebig-data-budapest,https://www.youtube.com/watch?v=5QEshZzg5IQ,,An update on the Apache Software Foundation and an overview of its projects. A quick look at how the ASF works and the key events affecting the foundation in recent history.
ApacheCon Europe 2015,2015-09-28,"Budapest, Hungary",Profiting From Apache Brands Without Losing Your Soul,,https://www.slideshare.net/shanecurcuru/profiting-from-apache-brands-without-losing-your-soul,,,Helping companies understand appropriate ways they can use Apache software product brands - and all the things to avoid.
ApacheCon Europe 2015,2015-09-28,"Budapest, Hungary",Keeping Your Apache Project's Independence,,https://www.slideshare.net/shanecurcuru/keep-your-apache-projects-independence,,https://feathercast.apache.org/2015/04/28/community-track-apachecon-na-2015-austin/,"Find out about the existing PMC Branding Reporting Guidelines, and learn about all the ways to protect your project's good reputation and trademarks at the ASF!"
Lightning Talk 2015,2015-09-28,"Budapest, Hungary",The Most Important Thing I Do Everyday At ApacheCon,,,,,
Software Freedom Law Center Conference,2015-10-30,"New York, NY",Community Trademark Policies Panel Discussion,,https://www.softwarefreedom.org/events/2015/sflc-fall-conference/,https://www.youtube.com/watch?v=d1dqDhjOOdk,https://www.softwarefreedom.org/events/2015/conference/video.html,"Panel speaker discussing how community-owned trademark policies are made and implemented, along with other FOSS project leaders and counsel. Conference provided CLE credits for lawyers."
ApacheCon NA 2016,2016-05-12,"Vancouver, BC",Attracting New Contributors While Staying Independent,,https://www.slideshare.net/shanecurcuru/attracting-new-contributors-while-staying-independent,,https://feathercast.apache.org/2016/05/20/apachecon-na-2016-attracting-project-contributors-while-staying-independent-shane-curcuru/,Tips and techniques for drawing in new contributors to your Apache FOSS software project - while staying independent of commercial overlords. 
All Things Open,2016-10-26,"Raleigh, NC",Practical Trademark Law For FOSS Projects,Y,https://shaneslides.com/ato/PracticalTrademarkLawForFOSSProjects-SCurcuru.pdf,,,Learn the practical lessons that will help your FOSS project protect your good reputation and trademarks.
ApacheCon Europe 2016,2016-11-16,"Seville, Spain",Improving Your Apache Project's Image And Brand,Y,https://www.slideshare.net/shanecurcuru/improving-your-apache-projects-image-and-brand,,https://feathercast.apache.org/2017/02/10/apachecon-seville-2016-improving-your-apache-projects-image-and-brand-shane-curcuru/,
ApacheCon Europe 2016,2016-11-16,"Seville, Spain",Successfully Profiting From Apache Projects And Brands,Y,https://www.slideshare.net/shanecurcuru/successfully-profiting-from-apache-brands,,https://feathercast.apache.org/2017/02/10/apachecon-seville-2016-successfully-profiting-from-apache-projects-and-brands-shane-curcuru/,
ApacheCon Europe 2016,2016-11-16,"Seville, Spain",Practical Trademark Law For FOSS Projects,,,,https://feathercast.apache.org/2017/02/10/apachecon-seville-2016-practical-trademark-law-for-foss-projects-shane-curcuru/,
PLI � Open Source Software,2016-12-21,"San Francisco, CA",Trademarks In Open Source,,,,,
PLI � Open Source Software,2016-12-21,"San Francisco, CA",Best Practices for Open Source License Compliance (Panel),,,,,
ApacheCon NA 2017,2017-05-16,"Miami, FL",Practical Trademark Law For FOSS Projects,Y,https://shaneslides.com/apachecon/PracticalTrademarkLaw-SCurcuru-ApacheConNA2017.html#1,https://www.youtube.com/watch?v=fiNvDG0ZR3E,,Presented at the Practising Law Institute's Open Source Software Summit. The FOSS ethos is sharing; It's important to understand how and why open source projects treat trademarks differently than traditional law firm clients.
ApacheCon NA 2017,2017-05-17,"Miami, FL",Apache Way: Effective Open Source Project Management,Y,https://shaneslides.com/apachecon/TheApacheWay-Intro-ApacheConNA2017.html,https://www.youtube.com/watch?v=hpAv54KIgK8,,
Lightning Talk 2017,2017-05-17,"Miami, FL",Lightning Talks � Host & Five Things I Never Could Have Imagined Doing,Y,,https://www.youtube.com/watch?v=5H52orWNIxw,https://youtu.be/5H52orWNIxw?t=1129,
Open Source Summit,2017-09-13,"Los Angeles, CA",Who Owns That Open Source Brand?,Y,https://shaneslides.com/ossummit/WhoOwnsThatOpenSourceBrand-SCurcuru.key,,,
PLI � Open Source Software,2017-12-20,"San Francisco, CA",Trademarks In Open Source,,Trademarks In Open Source - PLI 2018.pptx or sc.key,,,
FOSSBackstage 2018,2018-06-14,"Berlin, Germany",Who Owns That Open Source Brand?,Y,https://shaneslides.com/fossbackstage/Who-Owns-That-FOSS-Brand.pdf,https://www.youtube.com/watch?v=AnrcwYhMNGA,https://foss-backstage.de/session/who-owns-open-source-brand,
ASF Member Conversations,2018-06-14,"Berlin, Germany",Membership at the ASF: What It Means,,,https://www.youtube.com/watch?v=XtFPO1gX_f0,,Rich Bowen and Shane Curcuru discuss what ASF Members - shareholders - actually can do (hint: nothing to do with code)
